,profession,embs
0,Агроном,"[ 1.09875113e-01  1.28538609e-02  1.87302788e-03 -9.10358969e-03
 -2.69366447e-02  1.95571966e-02 -4.34351936e-02  7.28745088e-02
 -7.04179704e-02  5.06154113e-02 -2.49765031e-02 -2.74275802e-02
  1.91747230e-02 -1.17258877e-02  2.00255867e-02 -3.93036148e-03
 -1.77279965e-03 -5.70986494e-02 -4.14491780e-02  8.36653262e-02
 -4.92324345e-02  1.57873568e-04  6.29354417e-02  1.26776518e-02
  2.30715964e-02  2.43624374e-02  7.07294196e-02 -2.13787742e-02
 -1.09601626e-02  1.09971557e-02 -2.07517133e-03  9.83475242e-03
  5.38758794e-03 -1.11795262e-01 -6.20269962e-02  3.01647186e-02
 -3.29807168e-03  4.62969877e-02  5.57349548e-02  3.37897427e-02
  2.96911411e-02  2.44722843e-01 -4.15188856e-02 -2.99110301e-02
 -3.14448513e-02  5.90060912e-02  3.70721356e-03  4.63392027e-02
  4.39231656e-02 -3.14843357e-02 -5.25811240e-02  3.05216443e-02
 -8.86824653e-02  7.43306801e-03 -5.15610389e-02  4.84783947e-02
 -5.35166636e-02  3.11642364e-02 -3.72175053e-02  3.91893126e-02
  2.92232651e-02  7.86200613e-02 -6.03043335e-03  1.29052456e-02
 -9.02069882e-02  5.96393906e-02  2.68308558e-02  1.16372928e-02
  7.98750296e-03 -2.01655794e-02 -2.76174564e-02  2.00435985e-02
 -5.75951599e-02 -5.67430221e-02 -9.47120413e-02 -1.20869204e-01
  5.12960702e-02 -9.32110474e-02 -9.82764643e-03  1.10515371e-01
  1.68448370e-02 -5.22418693e-02  5.04368767e-02  2.43094228e-02
 -1.71564650e-02  2.29498111e-02 -4.52596769e-02  1.72857810e-02
 -1.47241838e-02 -7.96077847e-02  2.11703777e-02 -1.50994062e-02
  2.56892238e-02 -3.32932658e-02  3.68102007e-02  6.10285513e-02
 -5.16335759e-03  1.26724113e-02 -9.58923548e-02 -2.05590157e-03
 -9.75360572e-02 -5.89840710e-02 -7.18356529e-03 -8.64371751e-03
  6.66067973e-02  1.32623306e-02  1.12375662e-01 -1.01019042e-02
  7.73342326e-02  5.72522096e-02  3.74370329e-02  5.72266523e-03
 -5.71066402e-02  4.36168388e-02 -1.53144682e-02  2.38876231e-02
 -1.35720870e-03  4.57343422e-02  1.61125660e-02 -3.24808881e-02
 -2.70483997e-02 -1.16182022e-01  1.24550387e-02 -2.38395687e-02
 -7.83796832e-02  9.15783085e-03 -4.35297228e-02 -3.83783691e-02
 -7.03507811e-02  5.69927208e-02 -2.71212496e-02 -5.17579950e-02
 -1.76224709e-02 -1.47905117e-02 -5.01436517e-02 -2.53506098e-02
 -3.60628497e-03  1.04566300e-02 -8.83267168e-03 -6.87628090e-02
 -1.18844332e-02 -8.05212632e-02 -4.02400736e-03 -4.86756712e-02
  1.00929998e-02 -5.62403649e-02  4.20660973e-02  5.53993136e-03
  5.37095927e-02 -8.21497012e-03  3.55077870e-02 -3.88636440e-02
 -3.65850441e-02  9.38056335e-02 -8.47536847e-02 -5.44830076e-02
 -8.65729079e-02  7.28161493e-03 -5.89842163e-03 -2.01260597e-02
  9.13865641e-02 -2.80802487e-03 -2.35818070e-03 -1.33103743e-01
 -2.30551488e-03 -3.99941858e-03  2.72211079e-02 -9.62422192e-02
 -2.69691143e-02 -2.81460416e-02 -4.19067852e-02  1.63827036e-02
  3.97027507e-02 -5.84755056e-02 -3.11834905e-02  7.38580199e-03
 -1.57200489e-02 -3.18846218e-02 -1.98693909e-02 -3.00438348e-02
 -4.22008596e-02  5.36183640e-02  6.76426589e-02 -9.37163457e-02
 -3.00486498e-02  2.60196496e-02  8.71151127e-03  6.03915006e-02
  4.23869863e-02 -5.88290617e-02  3.84817012e-02 -4.19888012e-02
  6.22706935e-02  9.61490069e-03  3.69208008e-02 -2.83344120e-01
  1.12687927e-02  1.92898825e-01  1.06435075e-01 -6.71637207e-02
 -2.49092337e-02  5.36623970e-03  9.43545345e-03 -2.97691990e-02
 -2.07097337e-01  3.22766677e-02  4.79449108e-02 -1.69925615e-02
  1.04294330e-01 -2.52943188e-02 -3.45553048e-02  2.90394239e-02
  1.08597443e-01 -8.82092305e-03  1.73955988e-02 -5.81985079e-02
 -9.84478090e-03 -5.42493677e-03  9.58002731e-02 -3.88916992e-02
 -6.46415278e-02  5.00464886e-02  3.97906713e-02 -8.46458599e-02
  4.78547737e-02 -2.00485047e-02 -5.32845706e-02  6.42701164e-02
 -3.81833017e-02 -1.38823912e-02 -3.35293487e-02  3.45510766e-02
 -1.10707292e-02  1.96993351e-02  1.22401126e-01  9.00480524e-03
  2.49763317e-02 -6.81325346e-02  4.45894785e-02  2.87579130e-02
  8.44077021e-02  5.88372201e-02  9.12716519e-03  2.62418874e-02
 -3.63420025e-02  3.96623015e-02 -3.21368426e-02  4.42864038e-02
  1.02681667e-01  2.78203312e-04 -5.51995821e-02 -5.74892089e-02
 -1.43273294e-01  2.18973923e-02  1.18171044e-01 -3.65404934e-02
  5.93643927e-04  2.97411345e-02 -3.80681157e-02  4.82848212e-02
  7.32085183e-02  6.06666319e-02 -2.55975015e-02 -4.90399152e-02
 -3.44468257e-03 -7.24836485e-03 -1.44012384e-02  7.87193552e-02
  1.29070908e-01 -3.39627825e-02  2.06121784e-02  4.28077355e-02
  6.93947892e-04  7.46936873e-02  1.05545698e-02  4.25179210e-03
 -5.96183538e-02 -1.77217405e-02  8.54225233e-02 -6.33814372e-03
  2.56682597e-02  5.18010333e-02  8.65141749e-02  1.03102334e-01
  8.45197961e-02  1.82577185e-02  8.24620202e-03 -2.47034933e-02
 -5.29414639e-02  5.67418896e-03 -7.84678906e-02 -4.32369160e-03
  5.97289763e-02 -5.21482201e-04 -2.22454183e-02  2.04481725e-02
  1.00718111e-01 -1.80857480e-02 -4.26434577e-02  6.80835322e-02
  8.93046986e-03  9.22481902e-03  1.12977929e-01 -1.00862542e-02
 -1.32950358e-02 -5.16483933e-02  1.94885228e-02 -1.74865536e-02
 -6.44340441e-02  1.74691770e-02  1.79240163e-02  3.29076163e-02]"
1,Маркшейдер,"[ 5.68377785e-02  3.03962938e-02  4.46083806e-02 -1.75830163e-02
 -4.33585197e-02 -1.03196260e-02  2.04352271e-02  4.13897187e-02
 -3.48330662e-02  9.92678031e-02  6.28101826e-02 -4.75153932e-03
  7.04095094e-03 -1.55086480e-02 -8.05574376e-03  1.20385876e-03
 -2.82512195e-02  1.64985787e-02 -6.36050999e-02  4.45095226e-02
 -3.28722633e-02 -2.66598072e-02  4.11361121e-02  4.10697050e-02
  5.10285273e-02  3.50595377e-02  4.75090370e-02 -6.54758886e-02
 -2.42584627e-02  2.85946950e-02 -9.12695614e-05  1.15178050e-02
  3.75782512e-02 -1.83492452e-02 -4.34019417e-02  4.26883623e-02
 -8.27313773e-03  1.87341142e-02  1.82400504e-03  1.60814896e-02
  1.51591254e-02  2.63697565e-01  4.99215387e-02  3.44476476e-02
 -6.50367588e-02 -2.55723391e-02 -6.75787106e-02 -1.66603029e-02
  7.24804774e-02  3.42762284e-02 -8.42876211e-02 -1.44854616e-02
  1.29497154e-02 -2.38724351e-02 -6.26919493e-02  1.90058555e-02
  3.50101013e-03  9.91094112e-03  1.88409872e-02  2.08936725e-02
  7.93668702e-02  2.39566155e-02 -3.44421491e-02 -1.40136585e-03
 -6.31370470e-02  3.80481035e-02  5.06341793e-02  8.27528536e-03
 -3.06501836e-02  2.52071712e-02  1.66941173e-02 -8.86029191e-03
 -1.48734171e-02 -5.13354167e-02 -5.43750040e-02 -1.06779590e-01
  4.22033221e-02 -6.08183555e-02 -1.25138443e-02  3.57537717e-02
  2.74771731e-02 -6.28522644e-03  2.98976991e-02  2.46086828e-02
 -2.55809594e-02  5.11558552e-04 -1.46619836e-02  6.27008900e-02
 -2.98402440e-02 -1.06496029e-02  1.65463854e-02 -6.21730275e-02
 -6.48035556e-02  1.91284288e-02  5.03325313e-02  3.00784204e-02
 -5.03795817e-02  5.24468608e-02 -1.02373630e-01 -4.49676474e-04
 -9.08898413e-02 -1.30244270e-01 -5.07292971e-02 -3.02574306e-04
 -4.28605564e-02  4.53145765e-02  7.89081380e-02  1.78970322e-02
  5.23052402e-02  2.40780562e-02  6.00201190e-02 -5.00656059e-03
 -1.28189484e-02  5.49382605e-02  4.13430072e-02 -2.99079064e-03
 -5.71064018e-02  1.46925412e-02 -1.54930307e-02 -7.72694126e-02
 -2.48918068e-02 -1.21881373e-01  1.12051452e-02 -8.74705054e-03
 -7.93381557e-02  1.02036376e-03 -2.01588422e-02 -3.58468927e-02
 -3.09310425e-02  9.83669795e-03 -7.54183009e-02 -7.69125447e-02
 -6.09155446e-02  2.32383423e-02 -7.52539188e-02 -5.33988886e-03
 -1.67171080e-02 -5.25906272e-02  8.96376744e-03 -1.69293657e-01
  6.71203732e-02  4.05167835e-03  5.11757545e-02 -3.07025611e-02
  4.53601256e-02  1.16906436e-02  3.79008129e-02  6.96373032e-03
  1.16160773e-01 -3.84683684e-02  6.28666505e-02 -2.77075786e-02
 -4.21004407e-02  5.65954968e-02 -3.67470644e-02  2.40563918e-02
 -2.48220153e-02  7.00325742e-02 -3.57545391e-02 -1.19590238e-02
  3.74727175e-02 -2.92046275e-02 -3.72955166e-02 -1.40574157e-01
  6.09261962e-03  3.62406950e-03 -2.42616106e-02 -7.77131096e-02
 -1.41801909e-02  4.33347262e-02 -1.67471971e-02  4.24375869e-02
  5.78403007e-03 -1.40274409e-02  1.92110986e-02 -3.22123640e-04
  5.58801144e-02 -1.09708942e-02 -6.60979375e-02 -4.46939506e-02
 -4.38910574e-02  3.07231396e-02  1.25877589e-01 -1.21981986e-01
 -7.96591863e-03  7.25566298e-02  2.06714515e-02  3.55543680e-02
 -1.16469699e-03 -4.73347530e-02  5.63114882e-03 -5.53035960e-02
  3.77262160e-02  3.10508590e-02  5.98527454e-02 -3.88400286e-01
 -1.27083808e-02  1.11560285e-01  3.26574408e-02 -2.01927088e-02
 -6.39719442e-02 -3.05244867e-02 -1.07906656e-02 -3.69528607e-02
 -2.16685548e-01  4.89206426e-02  5.50828502e-02  2.03133337e-02
  6.14878945e-02  4.37471941e-02 -4.85011823e-02  5.71826287e-02
  1.02491103e-01  6.67108744e-02 -1.05247609e-02 -3.16200964e-02
  1.47453202e-02 -5.28561957e-02  8.11157525e-02 -3.54210399e-02
  1.84816886e-02  3.97173278e-02  1.95202921e-02 -6.68530762e-02
 -2.32513119e-02 -4.98917066e-02 -4.48793657e-02  5.42391203e-02
 -2.94837281e-02  8.53354111e-03 -2.44276989e-02  1.07468665e-02
 -8.05169716e-02  3.40305977e-02 -8.22130032e-03  4.91414592e-02
  9.85410903e-03 -1.72476633e-04  7.96221867e-02  4.08194698e-02
  1.31147608e-01  4.43624333e-02  4.50317897e-02 -1.15780476e-02
 -1.55986827e-02  3.39380093e-02 -1.70765128e-02  1.40529247e-02
  8.84378403e-02 -2.13710289e-03 -1.02987103e-01  6.14943507e-04
 -5.32131828e-02  2.79311985e-02  6.02408610e-02 -2.57873088e-02
  2.28833500e-02 -4.62461673e-02  5.74403778e-02  1.05122730e-01
  9.14146192e-03  5.43062575e-02 -4.47798800e-03 -1.43232848e-02
  2.12445692e-03 -3.62865515e-02 -3.81253962e-03  7.74235055e-02
  1.47556096e-01 -4.56436574e-02 -2.72798631e-02  2.66850628e-02
  3.34908697e-03  2.98565831e-02  4.63079996e-02  8.71352386e-03
 -1.81974862e-02  2.58426908e-02  7.71179870e-02 -7.25511275e-03
  9.77784693e-02  4.14724089e-02 -5.22879213e-02  6.25519827e-02
 -3.79984663e-03  2.64020953e-02  2.77445354e-02 -1.93367098e-02
  1.92798357e-02  5.42017557e-02 -9.29214209e-02 -3.67091261e-02
  5.77207059e-02 -4.09861170e-02 -4.99258153e-02  6.20745532e-02
  4.83837090e-02 -9.00049508e-03 -5.74762039e-02 -6.91372948e-03
 -4.00265604e-02  4.66401652e-02  4.67003211e-02  3.35640870e-02
  4.72944714e-02  6.12299182e-02 -1.94540364e-03 -7.21219415e-03
 -6.68416768e-02  3.27658951e-02  6.79820403e-02 -5.01460672e-05]"
2,Реставратор,"[ 2.66131051e-02  1.88985374e-03  2.52375547e-02 -3.65012884e-02
 -5.43528870e-02 -2.85012722e-02  3.57782394e-02  1.66183338e-02
  3.28386412e-03  1.07767820e-01  1.65596139e-02 -4.57431376e-02
 -2.50129914e-03 -7.99108390e-03 -4.10215324e-03  3.80249061e-02
 -2.12932285e-02 -3.27222124e-02 -3.31419036e-02  2.73160506e-02
 -2.29188990e-05  9.03783925e-03  8.99566934e-02  4.96694539e-03
  6.41595647e-02 -1.85280654e-03  4.07673419e-02 -6.98810145e-02
  9.88502149e-03  6.25350997e-02 -2.20350195e-02 -2.09529977e-03
  4.01221476e-02 -2.26415582e-02 -6.17706776e-02  4.77683172e-02
  3.62142874e-03  7.51017500e-03  3.56600173e-02 -1.47910640e-02
 -5.15624136e-02  2.06495553e-01  7.92144090e-02  2.51730327e-02
 -6.69923127e-02  1.65741965e-02 -2.76741888e-02  3.14002275e-04
  3.43289524e-02 -3.74889970e-02  3.09215300e-03 -9.32937115e-03
 -4.95601296e-02  1.35946004e-02 -5.80344796e-02  3.37390117e-02
  2.13922169e-02 -1.49149280e-02 -5.14690531e-03  3.33622098e-02
  5.14130518e-02  7.29929134e-02 -2.37345900e-02  8.18309467e-03
 -1.02835327e-01  8.47316161e-02 -4.45413450e-03  3.21845822e-02
  5.51777184e-02 -2.47100424e-02 -1.94530915e-02 -5.57746999e-02
 -6.97723478e-02 -4.09974270e-02  2.38809492e-02 -4.28680182e-02
  1.05599247e-01 -2.81952210e-02  5.30031472e-02  6.76007271e-02
 -1.05059175e-02 -6.67585433e-02  2.34318394e-02  7.69807249e-02
 -2.21291855e-02 -3.34835798e-02 -3.97942439e-02  5.38355224e-02
 -6.62809564e-03 -3.15372013e-02  2.22929306e-02 -3.79786715e-02
  3.62520404e-02  1.89716071e-02  5.60821742e-02  1.26791820e-02
 -7.55466288e-03  9.24537890e-03 -4.89641018e-02 -1.87614504e-02
 -6.24390543e-02 -6.43736050e-02 -7.44846016e-02 -4.20714095e-02
 -8.21631681e-03  2.45735943e-02  4.36786674e-02 -3.44345486e-03
  1.24160632e-01  8.11489746e-02  1.74235143e-02  3.44735868e-02
 -6.56906366e-02  5.02279634e-03 -1.89285912e-02  1.03130616e-01
 -7.04978965e-03  5.05441055e-02 -3.59575935e-02 -4.50867675e-02
  2.14256737e-02 -9.90509838e-02  4.50718962e-02 -3.05478554e-02
 -7.21162409e-02  2.20540464e-02 -5.23646288e-02  1.26326149e-02
 -5.22091724e-02  5.92977367e-02 -1.91275906e-02 -6.01553880e-02
 -1.23013649e-02 -3.37280035e-02 -5.21514099e-03 -6.74616694e-02
  2.08989996e-02 -4.85636964e-02 -2.89010932e-03 -1.11454621e-01
  6.97918013e-02  8.75902176e-03  3.83889899e-02 -3.90166864e-02
 -4.49130591e-03  4.57195379e-03  3.12948860e-02  3.98869179e-02
  5.97270131e-02  1.28773106e-02  2.35314667e-02 -4.16012779e-02
 -3.45773473e-02  3.53920981e-02 -7.31353275e-03 -1.55070005e-02
 -8.09649676e-02  3.03397980e-02  2.92383842e-02 -4.44521978e-02
  2.20349226e-02  3.11784763e-02 -3.28472741e-02 -1.50806978e-01
  3.62259150e-02 -9.99804121e-03  7.12057902e-03 -4.41476889e-02
 -4.22809646e-03  1.84125789e-02  1.41350962e-02  6.18883409e-03
  1.88422878e-03 -2.58817952e-02  3.31287719e-02 -1.26081984e-02
  7.65946135e-02 -2.85269301e-02 -6.13848725e-03 -4.68170978e-02
 -5.17200939e-02  3.84130888e-02  5.30305244e-02 -8.42216536e-02
 -1.12040769e-02 -8.85229034e-04 -2.10314281e-02  6.78617880e-02
  5.83343692e-02 -1.91428941e-02 -1.66038685e-02 -8.13747048e-02
  2.42498107e-02 -5.19088842e-02  8.81372914e-02 -3.48891467e-01
  1.78582277e-02  1.05010897e-01 -9.93218645e-02 -8.88960287e-02
  3.86500638e-03 -2.24615559e-02 -8.58512148e-03  7.90273305e-03
 -2.77365685e-01  3.04232351e-02  5.43434583e-02 -5.86719736e-02
  7.32047856e-02  4.20908704e-02 -3.35574038e-02  7.18417764e-02
  1.34931281e-01  9.57085192e-03  1.73059516e-02 -2.84883752e-02
 -4.20768186e-02 -5.36597334e-02  7.55329579e-02  1.12110963e-02
  2.31521390e-02  7.06432387e-02 -1.67314671e-02 -7.59888217e-02
 -2.66719777e-02  2.13263975e-03 -1.12341419e-02  6.40153065e-02
  4.94064577e-02  3.46245915e-02 -3.17298137e-02 -3.12597677e-02
 -5.45664914e-02  6.92279488e-02 -2.65097953e-02 -1.26265427e-02
  4.13765572e-02 -2.38678474e-02  1.21224038e-02 -3.51733007e-02
  4.83634956e-02  1.46047510e-02  3.90965417e-02  1.82159729e-02
  3.64708789e-02  4.29246314e-02 -3.90104093e-02  2.02958211e-02
  1.86505895e-02  2.50542955e-03 -1.03407651e-01 -9.48701575e-02
 -8.87347460e-02  2.30682921e-02  1.23528577e-01 -7.58462697e-02
 -2.93908198e-03  1.94301922e-02  2.72728428e-02  8.67809951e-02
  9.57884267e-03  7.05648661e-02 -6.65567955e-03  3.06269079e-02
  1.17406800e-01 -1.25487208e-01 -2.26107128e-02  1.34714112e-01
  1.81350067e-01 -7.60880858e-02  3.69540527e-02  7.41270408e-02
 -1.20939799e-02  5.23221530e-02  8.24705809e-02  8.41285847e-03
 -6.82606548e-02  3.07420827e-02  3.50156911e-02 -4.62534884e-03
  4.21405435e-02  6.36263862e-02  3.91537547e-02 -5.77857671e-03
  6.09629452e-02  6.14836365e-02  3.73716839e-02  4.23062406e-03
 -3.39112356e-02 -2.89349668e-02 -4.99204732e-02 -1.04352999e-02
  2.63279025e-02 -1.93548587e-03 -6.83721453e-02  4.06611115e-02
  9.06518474e-02  1.38733042e-02 -4.77676243e-02  4.54209791e-03
 -5.53534105e-02 -2.46949755e-02  2.20674612e-02  2.37644911e-02
  3.47842723e-02 -9.52702854e-03 -4.48936112e-02 -4.64923568e-02
 -7.92059600e-02  2.23576277e-02  8.30953941e-03  1.90654362e-04]"
3,Слесарь по ремонту строительных машин,"[ 0.00581675  0.00779388 -0.0143715  -0.04746214  0.00270658 -0.02945268
 -0.01358042  0.02603598  0.03903962  0.10813573  0.07218457  0.02956295
  0.03670681 -0.00899094 -0.00444181 -0.00112593  0.03041909 -0.03803099
 -0.03045408 -0.00671365  0.00163949 -0.0090032   0.03400178 -0.01179893
  0.11696702 -0.01446691  0.02544743 -0.03296372 -0.03690309  0.06740702
 -0.01996031  0.05165393  0.00342144 -0.02618996 -0.04687129  0.02944183
  0.05596323 -0.02031573  0.00985553 -0.02746121 -0.0042633   0.2878471
  0.12144046  0.00979076 -0.06675307 -0.00507087 -0.0342343   0.03400327
  0.05243617 -0.01135917 -0.09444547  0.0038062   0.00802129 -0.0057617
  0.05296462  0.02667606  0.01543976 -0.01834291 -0.03247374  0.01297045
  0.04497573  0.02387822 -0.00667546  0.01597193 -0.07168125  0.06066573
  0.01299074  0.00287378 -0.03675702  0.02447076 -0.02394506 -0.02694122
 -0.04995826 -0.06247067  0.01467537 -0.03601355  0.0837189  -0.00849169
  0.04591017  0.12576573  0.03552875 -0.03285333  0.03018425  0.05834809
  0.01869157  0.02178801 -0.04531892  0.01556048 -0.04714256 -0.0570764
  0.01276435 -0.05841182 -0.01770097  0.03054629  0.04408818  0.0414755
 -0.00624304  0.00213778 -0.09189373  0.00301475 -0.07321528 -0.06141477
 -0.00344015  0.01196147 -0.02451173 -0.00849682 -0.03112765  0.06077996
  0.09006815  0.05466782 -0.03670171  0.02856585 -0.04987526  0.01751973
  0.01795001  0.06321919 -0.037685   -0.02370877 -0.04206973 -0.06862745
 -0.03751389 -0.09525883 -0.01129277 -0.03372857 -0.08554532  0.01175542
 -0.00834173 -0.06182156  0.00079488  0.02788224 -0.06051487 -0.1321032
 -0.00870257 -0.02610926 -0.06841858 -0.05327188  0.03341836 -0.05850291
 -0.0097265  -0.01921772  0.07474454 -0.02965146  0.04194694 -0.03962886
  0.01155818 -0.07301418 -0.00856785  0.00313611  0.05892743  0.01010669
  0.04772826 -0.01831498 -0.10181619  0.00799606 -0.07941421 -0.00876492
 -0.05853854  0.03559934  0.09941343  0.03761251  0.04316858 -0.06454315
 -0.00848056 -0.15531051  0.01344966 -0.04913108 -0.01286724  0.01619426
 -0.02239749  0.06673822  0.01686279  0.04794993  0.03032124 -0.03474229
 -0.02281748 -0.01283485  0.01721689 -0.00275428 -0.07357977 -0.02849844
 -0.05933099  0.04221535  0.00553893 -0.05962832 -0.08122076  0.03356441
  0.01307401  0.05502467  0.05973257 -0.0126232   0.01763063 -0.03478926
  0.07209487 -0.01045991  0.11858119 -0.39462042 -0.02850357  0.11229672
 -0.00629766 -0.08983907  0.00291689 -0.02598318  0.06495806 -0.02341752
 -0.19592942  0.02893774  0.06104391 -0.00861086  0.03488842  0.02238206
 -0.01235504  0.16418152  0.02757299  0.10550492  0.0443748  -0.01494373
 -0.00184963 -0.01257161  0.11090222 -0.07178177 -0.05574372  0.02987973
  0.04880683 -0.09544861 -0.02128012  0.00097011  0.00347189  0.06258566
 -0.02962239 -0.01036955 -0.02846274 -0.06191734 -0.01352291  0.06499161
 -0.04978415  0.01311961  0.07825778  0.03468265 -0.01364875 -0.04718317
  0.02146522  0.07203375  0.0117616  -0.02389538 -0.00144221  0.02015731
 -0.04579639 -0.01753072  0.05628526 -0.005236   -0.03836313 -0.03014318
 -0.02005355  0.00986703  0.0668541   0.05936512 -0.01307892  0.02967301
  0.01599076  0.03899813  0.03854175  0.03915793 -0.00165244 -0.00972334
  0.07641736 -0.03967321  0.0125742   0.03606614  0.14096496 -0.03710153
  0.00390648  0.14348045  0.02085168  0.0246583   0.00622661  0.03229464
 -0.07668524  0.03999979  0.02980768  0.05833659  0.07106163  0.04570129
 -0.0028986  -0.01803149  0.004168    0.07969575 -0.03771741  0.03786997
  0.00655684 -0.06792046 -0.11087103 -0.01841224  0.02410826  0.00265822
 -0.06354296  0.00353676  0.0098543   0.03185643  0.00272434 -0.04078331
 -0.04286652 -0.02172508  0.03731466  0.07751936  0.02457923  0.01432677
  0.00484656 -0.0010373  -0.06174655  0.03604746  0.07324515 -0.00457238]"
4,Монтажник санитарно-технических систем и оборудования,"[ 0.01917355  0.05755864  0.01253381 -0.08178117 -0.05219119 -0.02802292
  0.02085622 -0.02136168  0.01493953  0.10201088  0.06584802 -0.02824717
 -0.03467493 -0.00853782 -0.05334377 -0.06184352 -0.00730465 -0.0207304
 -0.01867343 -0.00783338 -0.0186059  -0.013225    0.06495001  0.01044475
  0.10271407  0.01821403  0.08232088 -0.08917074 -0.02208184  0.01842968
 -0.05735806  0.04414457  0.00186766  0.02095122  0.02813296  0.0268697
  0.0057984   0.02649164  0.02028209  0.00423056 -0.06180635  0.27159008
  0.20880415 -0.02862242 -0.04656472 -0.02380265  0.00528036  0.08207923
  0.06151523  0.03555233 -0.05856274 -0.01108573  0.00048283 -0.0365648
 -0.0574764   0.05215463  0.02023414 -0.01739147  0.04277691  0.04841025
  0.06149422  0.07260003 -0.01869447  0.03834108 -0.0831742   0.05229793
 -0.01477691 -0.01870487 -0.03864687  0.03963859  0.04519603 -0.10247285
 -0.01731622 -0.0774917   0.05652128 -0.01480407  0.08404452 -0.00565809
  0.05247942  0.09700052 -0.00447256 -0.03417354  0.06170951  0.00884463
  0.0128953  -0.01109872 -0.0645322   0.0265716   0.01118981 -0.05740679
  0.02783487 -0.03492561 -0.0170112   0.04874856  0.04261833 -0.02277333
 -0.04587351  0.00400881 -0.07030904  0.04070554 -0.07200585 -0.07475196
  0.01621964 -0.01955858  0.01911652  0.00793145 -0.0897684   0.02751385
  0.02489862  0.03719728 -0.05119583 -0.03827595 -0.04515985  0.03270894
 -0.05207624  0.10792255 -0.02146462  0.01863087 -0.01577032 -0.04518675
 -0.04807859 -0.00484477  0.01282939  0.03529599 -0.06669004  0.01543115
 -0.09219433  0.0282486  -0.05724452  0.04220101 -0.03897469 -0.02953558
  0.02124124 -0.03867819 -0.10876969  0.00712164  0.04182644 -0.0133771
 -0.02601391 -0.04220374  0.0445607  -0.02983476  0.05459154 -0.03827623
 -0.00407537 -0.05732262  0.0485212  -0.02208864  0.03992576  0.06318556
  0.000999    0.00034749 -0.11593408 -0.00734514  0.00484784  0.00455213
 -0.04956664 -0.02433674 -0.00616212 -0.01521236  0.03133357 -0.01376088
  0.03257209 -0.15303177 -0.01380417 -0.04232284  0.02448005 -0.05058288
 -0.03363015 -0.00745967  0.00902841  0.00776162 -0.01720917 -0.04075731
 -0.04821769  0.00540937  0.00173334 -0.02641956 -0.07310075  0.03235882
 -0.12079628  0.03309193  0.01978488 -0.0675484  -0.0232038   0.02446353
  0.01524857  0.04687276 -0.02291564 -0.03394065 -0.00202477 -0.00158838
 -0.00183507  0.05657281  0.10778046 -0.31534207  0.01194778  0.14765882
 -0.00185844 -0.05857241 -0.01131075 -0.05602185  0.01920034 -0.06076989
 -0.21698353 -0.01871845  0.06973568 -0.0284539   0.04951717  0.07711657
 -0.03203271  0.08590217  0.02138637  0.07267175  0.03340143 -0.05901629
  0.03912532 -0.08358665  0.12986657 -0.02327173 -0.07317764  0.06816014
  0.03377501 -0.02514093  0.02907421 -0.01710253 -0.04346821  0.04457109
 -0.09024389 -0.04960345 -0.03163847 -0.07019958  0.01567093  0.02500092
 -0.01795375  0.04651441  0.05559739  0.0321519   0.00099267  0.01336898
  0.01319217  0.07840125  0.04478428  0.01215484 -0.0203157   0.07447597
 -0.06677109 -0.0270013   0.02181775  0.01105707  0.01742311 -0.01799171
 -0.01588454  0.0460549   0.01308853 -0.01996702 -0.01307454 -0.01912026
 -0.0052877   0.00847597  0.06758317  0.04890072  0.02464208  0.02945669
  0.07625145 -0.01933459 -0.01318018  0.12568417  0.13831325  0.00295275
 -0.00700248 -0.0056911  -0.0257812   0.03566896  0.0653483   0.01824495
 -0.06355063  0.04271503  0.03954744  0.08663954  0.04266958  0.00489329
 -0.00338937 -0.00178101  0.04875986  0.03098583 -0.01640818 -0.00157493
 -0.01388358  0.03710315 -0.13808528  0.03593383  0.00130981 -0.01103717
 -0.06995891 -0.05347697  0.05933873  0.08680096  0.01772356  0.04987119
  0.0179399  -0.01399295  0.05300478  0.03554121  0.04114682 -0.01629373
 -0.08375446 -0.03615504 -0.09250135  0.10085443  0.06809886 -0.01388519]"
